Regulator	Target	MI
EGR2	IL2	-1
EGR3	IL2	-1
E2F1	PPP1R13B	1
PPP1R13B	E2F1	1
PPP1R13B	E2F2	1
PPP1R13B	E2F3	1
GATA1	CDA	1
TBL1XR1	FDFT1	1
GATA1	CA1	1
ZNF267	MMP10	-1
EZH2	DACT3	-1
MYC	MXD4	-1
TCF12	MYB	1
HNRNPA1	KLK3	-1
ATF2	POLB	1
SMAD3	PTPN2	1
MXI1	MYC	-1
BRCA1	MDM2	1
HNF4A	TTR	1
REST	TAC1	-1
ZNF148	VIM	-1
RELA	SNAI1	1
NFKB1	PDK4	-1
SMAD3	PTPN7	1
SMAD3	PTPN9	1
SMAD3	PTPN4	1
SMAD3	PTPN5	1
SMAD3	PTPN6	1
TP63	ATM	1
ZFHX3	MYF6	-1
LMO3	HES1	-1
DLX3	GLI2	-1
DLX5	GLI2	-1
APP	CTNNB1	-1
TP63	AXL	1
NFKB1	MUC2	1
CCND1	HBP1	-1
HBP1	CCND1	-1
NOTCH3	APOD	-1
CCND3	HBP1	-1
SPP1	GLI1	1
ARHGAP26	CTNNB1	1
EGR1	FAS	-1
FAS	EGR1	-1
CCNE1	HBP1	-1
XBP1	GSK3A	1
CREBBP	VEGFA	1
PPARG	POU2F1	1
HERC5	MYC	1
SOX2	PGA5	1
TP53	OGG1	1
TP63	ADA	1
IL18RAP	NOS2	1
JUN	KLK3	1
TP73	ADA	1
TP73	AEN	1
TP63	OGG1	1
MECP2	DLL1	-1
IL10	TIMP1	1
RANBP9	KLK3	1
TP53	HIPK2	1
XBP1	SYVN1	1
EP300	DNMT1	1
DNMT1	EP300	1
SREBF2	SQLE	1
SQLE	SREBF2	1
SREBF1	SQLE	1
SQLE	SREBF1	1
TCF3	MYB	1
TCF4	MYC	1
RUNX1	CR1	1
MYB	MYF6	-1
CBFB	OCLN	1
EWSR1	TERT	1
PPARA	CPT2	1
VAV3	GLI2	-1
E2F1	MT1G	1
MT1G	E2F1	1
HIF1A	ALAS2	1
SP1	KIF2C	1
KIF2C	SP1	1
NFKBIB	IFNB1	-1
NFKBIA	IFNB1	-1
CTDP1	ATR	1
CTDP1	ATM	1
DIABLO	E2F1	1
TCEA1	FANCI	1
KLF4	RARA	-1
ZBTB7A	SLC2A3	-1
CDKN2A	AURKB	-1
GATA3	ERG	1
AR	VEGFA	1
POLR2I	BRCA1	1
POLR2J	BRCA1	1
POLR2K	BRCA1	1
POLR2L	BRCA1	1
NCOA3	NRIP1	1
POLR2A	BRCA1	1
POLR2B	BRCA1	1
POLR2C	BRCA1	1
POLR2D	BRCA1	1
POLR2E	BRCA1	1
POLR2F	BRCA1	1
POLR2G	BRCA1	1
POLR2H	BRCA1	1
MDC1	BRCA1	1
BRCA1	MDC1	1
TFDP1	CCND3	1
TCF7L1	MYC	1
TCF7L2	MYC	1
MYC	TCF7L2	1
NFIL3	PER2	-1
TFDP1	CCNE1	1
TFDP2	CCNE1	1
TFDP2	CCNE2	1
RXRA	CPT1A	1
RXRA	CPT1B	1
SCD	HNF1A	1
TP53	BAX	1
TP63	BAX	1
VIM	TCF7L2	-1
XBP1	PDIA5	1
XBP1	PDIA6	1
TP73	BAX	1
STAT3	CISH	1
TFDP1	CCNA1	1
TFDP2	CCNA1	1
STAT3	LCN2	1
ETS1	TGFBR2	1
TIMP3	FOXO1	-1
CREBBP	ADIPOQ	1
HOXB7	CDKN1B	-1
E2F4	PCNA	-1
E2F5	PCNA	-1
TP53	BID	1
NFYA	HOXB4	1
DDIT3	TRIB3	1
DAPK2	CTNNB1	-1
SP1	CYP27A1	1
SP3	CYP27A1	1
HIST2H2AC	KDM4B	1
GLS2	HNF1A	1
FOXO3	TXNIP	1
TP53	LIF	1
ZBTB17	ITGB1	-1
ZBTB17	ITGB4	-1
ZBTB17	ITGA6	-1
CHD9	AGT	1
ESR1	CXCL12	1
HLA-DRA	IFNG	1
CALCOCO1	TFF1	1
SPP1	SMAD1	1
RARA	RARB	1
NR2F1	MTTP	-1
CLOCK	NOCT	1
TNIK	MYC	1
YY1	CREBBP	-1
ERCC2	CHEK1	1
ERCC3	CHEK1	1
ARNTL	SERPINE1	1
FOS	CBFB	1
ZNF24	CCND1	1
EBI3	IL2	-1
ZIC1	FAM57A	1
ARNT	EGLN1	1
ARNT	EGLN3	1
RAG2	RAG1	1
RAG1	RAG2	1
CCNT1	RAD51D	1
CCNT2	RAD51D	1
MDM2	DNMT3A	1
TGFB1	PPARG	-1
HIST2H2BE	KDM4B	1
JUN	KRT16	1
JUN	KRT17	1
SP1	THBD	1
PROX1	TWIST1	-1
SMAD2	JUNB	1
SMAD3	JUNB	1
SMAD4	JUNB	1
IFNG	TERT	-1
PRKCB	SELE	1
PRKCD	SELE	1
PRKCE	SELE	1
PRKCA	SELE	1
ITGA1	CTNNB1	1
PRKCG	SELE	1
PRKCH	SELE	1
PRKCQ	SELE	1
MCM8	NFYA	1
RUNX1	NR4A3	1
LIN52	E2F1	-1
LIN54	E2F1	-1
NCOA1	CPT1A	1
NCOA2	CPT1A	1
NCOA6	CPT1A	1
TP53	FANCC	1
LIN37	E2F1	-1
POLD1	E2F4	1
POLD1	E2F1	1
ELOA	MDC1	1
ELOB	MDC1	1
ELOC	MDC1	1
POLE3	E2F1	1
POLE3	E2F2	1
POLE3	E2F3	1
POLE3	E2F4	1
POLE2	E2F1	1
YY1	E2F1	-1
AGO1	GREB1	-1
AGO2	GREB1	-1
AGO3	GREB1	-1
NFKB1	YY1	-1
AGO4	GREB1	-1
STAT3	CCND1	1
CCND1	STAT3	1
STAT3	CCND3	1
ELF1	IL2RA	1
MYB	TOM1	1
E2F3	POLA1	1
E2F1	POLA1	1
POLA1	E2F1	1
CBFB	AXIN1	1
GATA1	PF4	1
PDX1	HNF1A	1
HNF1A	PDX1	1
TWIST1	HES1	-1
SNW1	SMAD7	1
SMAD3	BCL2L11	1
SMAD4	BCL2L11	1
CHD9	GLIPR1	1
GTF3A	COL1A1	1
JUN	VEGFA	-1
PPARGC1B	ATP5F1B	1
RUVBL1	HSPD1	1
SPI1	PRG2	1
TYK2	CD4	1
RUVBL2	HSPD1	1
ASCL1	PCSK6	-1
PHB2	C3	-1
ZBTB17	CCL5	1
CHD9	FABP1	1
CIITA	HLA-C	1
CIITA	HLA-A	1
CIITA	HLA-B	1
HIST2H2AC	MYC	1
FOS	CCN1	1
JDP2	ATF3	-1
WWP1	TGFBR1	-1
NCOA1	CDKN1A	1
IFI16	ICAM1	-1
RUNX1	MYB	1
CD3D	FOS	1
CD3E	FOS	1
CD3G	FOS	1
HEY1	ACTA2	-1
HEY2	ACTA2	-1
HIST2H2BE	MYC	1
MAX	TP53	1
ATF2	HBG2	1
MAX	MXD4	-1
HIST1H2BA	KLK2	1
HIST1H2BB	KLK2	1
HIST1H2BA	KLK3	1
HIST1H2BB	KLK3	1
HIST1H2BD	KLK2	1
HIST1H2BD	KLK3	1
HIST1H2BG	KLK2	1
NF1	TP53	1
HIST1H2AJ	KLK2	1
HIST1H2AJ	KLK3	1
TGS1	ANGPTL4	1
HIST1H2BO	KLK3	1
HIST1H2BH	KLK2	1
HIST1H2BG	KLK3	1
HIST1H2BH	KLK3	1
HIST1H2BJ	KLK2	1
HIST1H2BJ	KLK3	1
HIST1H2BK	KLK2	1
HIST1H2BL	KLK2	1
HIST1H2BK	KLK3	1
HIST1H2BM	KLK2	1
HIST1H2BL	KLK3	1
HIST1H2BN	KLK2	1
HIST1H2BM	KLK3	1
HIST1H2BN	KLK3	1
HIST1H2BO	KLK2	1
CDX2	AXIN2	1
HIST1H2AB	KLK2	1
HIST1H2AC	KLK2	1
HIST1H2AB	KLK3	1
HIST1H2AD	KLK2	1
HIST1H2AC	KLK3	1
HIST1H2AD	KLK3	1
ID4	BRCA1	-1
ETS1	TFAP2A	1
TFAP2A	ETS1	1
CLDN4	STAT2	1
CBFB	IHH	1
SNAI1	PEBP1	-1
CHD9	G0S2	1
HDAC1	SPP1	-1
CBFB	IL3	1
MED1	CEBPA	1
MED6	CEBPA	1
MED7	CEBPA	1
MED8	CEBPA	1
MED9	CEBPA	1
MED4	CEBPA	1
SP1	KISS1	1
KAT5	GPAM	1
MYC	MST1	-1
CTDP1	FANCI	1
SMARCD3	ACOX1	1
ZEB1	CDH1	-1
ZEB2	CDH1	-1
TLX1	NR4A3	1
FOS	CDK1	1
HAND2	PHOX2A	1
MYC	TP53	1
CREB1	IGHA1	1
DBP	ALDOB	1
TFDP1	DHFR	1
CDK12	BRCA1	1
MYC	TP73	1
SPI1	IFIT3	1
APAF1	E2F6	-1
E2F6	APAF1	-1
E2F7	APAF1	-1
E2F8	APAF1	-1
CEBPD	IL23A	1
SUPT3H	TERT	1
IRF1	BCL2	-1
IRF4	BCL6	-1
BCL6	IRF4	-1
AHR	CYP1B1	1
MLX	ACACA	1
MLX	ACACB	1
AHR	CYP1A1	1
SREBF1	SC5D	1
SREBF2	SC5D	1
TFAP2A	NME3	1
HP	CEBPA	1
HP	CEBPB	1
STAT6	CCL26	1
EGR1	E2F1	1
TFAP2A	ESR1	1
TFAP2C	ESR1	1
CEBPA	F9	1
AES	LEF1	1
MED1	NPAS2	1
IRF1	EIF2AK2	1
CXCL12	CTNNB1	-1
HIF1A	CTGF	1
NPAS2	F7	1
IRF1	HLA-A	1
NFKB1	EGFR	1
CDX2	GCG	1
SREBF1	SCD5	1
IL27	IFNG	1
CREBBP	EDN1	1
IL18	IFNG	1
SREBF2	HNF4A	-1
NCOR1	IGFBP3	-1
DUSP4	FOXO1	-1
RELA	IFNG	1
CHD9	FADS1	1
H2AFB1	KDM4B	1
PARP1	FOXO1	-1
SNAI1	CLDN3	-1
STAT6	CCL17	1
STAT3	CCL11	1
NCOR2	ABCA1	-1
NCOR1	ABCA1	-1
DIO2	CTNNB1	1
HIF1A	CTNNB1	-1
BRCA1	E2F1	1
E2F4	TTK	-1
GATA1	DICER1	1
SIRT1	EGLN1	-1
PROX1	CYP7A1	-1
CCNK	ATM	1
CCNH	ATR	1
CCNK	ATR	1
CCNH	ATM	1
HNF1A	SLC22A9	1
RB1	BRD2	1
AR	EGFR	1
PAX8	TG	-1
TP53	HGF	1
E2F1	MYCN	1
MYCN	E2F1	1
MYCN	E2F2	1
MYCN	E2F3	1
E2F6	TK1	-1
NEUROG3	NKX2-2	1
FOXA1	SCGB1A1	1
SCGB1A1	FOXA2	1
TP53	GML	1
GML	TP53	1
SPG20	GLI2	1
CITED2	MMP13	-1
EGR1	PTP4A1	1
PTP4A1	EGR1	1
JUN	KRT5	1
CBFB	BLK	1
THRAP3	FABP4	1
NFKB1	EBI3	1
BNIP3L	FOXO3	1
FOS	KRT17	1
HMOX1	SREBF1	1
RUNX1	JUN	1
DNMT1	CASP8	-1
RUVBL1	PTMA	1
RUVBL2	PTMA	1
JUN	VCAM1	1
TRAC	FOS	1
CDK7	ATM	1
CDK9	ATM	1
CDK7	ATR	1
CDK9	ATR	1
SIRT1	PAX6	-1
RELA	BHMT	-1
SUPT7L	TERT	1
CDK4	FABP4	1
CEBPD	POU5F1	1
CDK8	FABP4	1
ATF2	DUSP10	1
LGALS3	CTNNB1	1
CDX2	APC	1
NRF1	CYCS	1
AR	CTNNB1	1
NR4A2	MMP1	-1
LEF1	FGF4	1
PPARG	CFLAR	-1
TFAP2A	HGF	-1
HIST3H2BB	BCL2	1
PPARGC1A	NRF1	1
RNF187	CCND1	1
RUNX2	IHH	1
TP53	IGF1R	-1
EGR1	SLC4A2	1
CHD9	ANKRD1	1
PATZ1	KLK3	-1
RUNX1	IL2	1
SF1	SULT2A1	1
TP53	HTT	1
CBFB	CR1	1
E2F6	UXT	-1
UXT	E2F6	-1
SP2	MMP9	-1
NFKB1	EPCAM	-1
AR	NAT1	1
STAT4	RPLP0	-1
SP1	KLK3	1
SP3	KLK3	1
WT1	CDC73	-1
MYC	KRAS	1
SP3	TFF1	1
SRC	KLK2	1
NANOG	CDX2	-1
IL20RA	STAT2	1
HELZ2	PCK1	1
ATM	GADD45A	1
NR3C1	MMP1	-1
HDAC3	GATA2	-1
GATA4	HDAC9	-1
HTATIP2	SPP1	-1
ITGA6	GLI2	-1
SOX2	ISL1	-1
CARM1	APOA1	1
CARM1	APOA2	1
CARM1	APOA5	1
EP300	PLIN1	1
E2F1	RASGEF1B	1
CNOT8	FOXO1	1
NFYA	DHCR7	1
NFYB	DHCR7	1
NFYC	DHCR7	1
HIPK2	HIF1A	-1
HIC1	ACKR3	-1
SP1	TERT	1
TERT	SP1	1
LPAR1	MMP2	1
NFKB1	BRCA2	1
SP1	BRD7	1
FOS	TCF7L2	1
STAT3	FOXO1	1
STAT3	FOXO3	1
IL1R1	CTNNB1	1
KLF8	MMP14	1
ATF2	IFNB1	1
MYB	KITLG	1
SMARCD3	ACSL1	1
AKR1C4	HNF1A	1
TCF4	VIM	1
AKR1C4	HNF4G	1
AKR1C4	HNF4A	1
SP3	E2F1	-1
SP1	E2F7	-1
THRA	SERPINC1	-1
GATA1	MPL	1
HDAC4	RUNX2	-1
RING1	CDC7	-1
CREBBP	CYP1A1	1
MAMLD1	ACTA2	1
RARA	CRABP1	1
CRABP2	RARA	1
EGR1	HYAL1	1
LEF1	OCA2	1
ING2	BCL2	-1
ING4	BCL2	-1
PRDM1	LMO2	-1
T	CTNNB1	1
PPP2R4	MYC	-1
ECT2	E2F1	1
DBP	CYP3A4	1
SMTN	NOTCH1	-1
EZH2	CCNE1	1
EZH2	CCND1	1
USF2	ATP5F1A	1
RXRA	TIAM2	1
TBP	TFF1	1
NANOG	CDK6	-1
EP300	BCL2	1
GATA3	MYB	1
MYB	GATA3	1
MYC	GATA4	1
ADH1B	CEBPA	1
ADH1A	CEBPB	1
ADH1B	CEBPB	1
ADH1C	CEBPB	1
ESRRG	NR0B1	1
AR	AKR1C3	-1
SIRT1	XPC	-1
KLF4	IFITM3	-1
ITGAX	CEBPA	1
CEBPA	ITGAX	1
TLX1	MYC	1
VDR	DKK4	-1
GLI1	PDGFRA	1
GLI2	PDGFRA	1
MCM7	E2F4	1
MCM5	E2F2	1
MCM6	E2F1	1
MCM7	E2F1	1
MCM5	E2F3	1
MCM6	E2F2	1
MCM7	E2F2	1
MCM8	E2F1	1
MCM5	E2F4	1
MCM6	E2F3	1
MCM7	E2F3	1
E2F1	MCM3	1
E2F2	MCM3	1
E2F3	MCM3	1
MCM5	E2F1	1
FOXM1	NEK2	1
FOXA2	CEBPA	1
IRF9	CDKN1A	1
IRF9	CDKN1B	1
IRF1	CDKN1B	1
CARM1	ANGPTL4	1
REL	SOD2	1
CDX2	UGT1A10	1
FHL2	KLK3	1
SPP1	NR4A2	1
PTPN11	CCND3	1
PML	CASP3	1
MTA2	FSHR	-1
MAFG	MMP1	1
CREB1	MUC5AC	1
SOX9	NR5A1	1
RXRG	SREBF1	1
SREBF1	RXRA	1
RXRA	SREBF1	1
RXRB	SREBF1	1
HOXB7	VEGFA	1
WT1	AR	-1
EBP	HNF4A	1
PPARG	VLDLR	1
POU5F1	SALL1	1
POU5F1	SALL4	1
TP53	PYCARD	1
PRDM1	GCSAM	-1
LEF1	CDKN2A	-1
SIRT1	WRN	-1
HRAS	TP53	-1
SRF	SMN1	1
HELZ2	ANKRD1	1
USF1	SERBP1	1
MAPK14	RAB7A	1
SPIB	IRF7	-1
TBX21	CXCR3	1
LEF1	CTNNB1	1
CTNNB1	LEF1	1
JUN	LGALS3	1
POU4F1	BAX	-1
SP1	SOD1	1
RUNX3	FADD	1
TBX21	IL13	-1
ATM	SLC2A1	-1
MECP2	PTPN4	1
TP53	PLAGL1	1
F3	NFKB1	1
RB1	E2F1	-1
RB1	E2F2	-1
RB1	E2F3	-1
E2F1	AR	1
STAM	MYC	1
REST	BDNF	-1
FOSL1	CTNNB1	1
EZH2	SSTR1	-1
MYCN	CLU	-1
RXRG	NRIP1	1
BRCA1	HSPA5	-1
RXRA	NRIP1	1
RXRB	NRIP1	1
HELZ2	G0S2	1
NFKB1	TF	1
NR2F2	PPARG	-1
TP63	TOP2A	1
SP1	SOX9	1
ATM	VEGFA	-1
SRY	SOX9	1
RUNX1	SOCS4	-1
AR	UCN	-1
RUNX1	SOCS3	-1
YBX1	PTPN1	1
OPRM1	YY1	1
JUND	GAST	1
ETS1	CHUK	1
CHUK	ETS1	1
MYB	ICAM1	-1
E2F5	MYC	-1
TCEA1	ATM	1
ESR1	NQO1	-1
TCEA1	ATR	1
STAT5A	BRWD1	-1
STAT5B	BRWD1	-1
BCL2	MYC	1
BCL6	MYC	1
MTOR	PPARGC1A	1
LBX1	CTNNB1	1
TGS1	FHL2	1
KDM3A	KLK3	1
TWIST1	NR2F1	1
TWIST2	NR2F1	1
MEN1	GAST	-1
KDM1A	KLK3	1
CDK19	LEP	-1
FADD	CTNNB1	-1
KDM4C	KLK2	1
KDM4C	KLK3	1
ERG	EPB41L3	-1
E2F1	MEFV	1
TYK2	NOS2	1
JUN	BEX2	1
PPARG	CDX1	1
CDX1	PPARG	1
RELA	NAMPT	1
HIF1A	NDRG1	1
CDC45	E2F1	1
E2F1	CDC45	1
NRF1	ALAS1	1
CREBBP	IL2RA	1
TAF9	CAD	1
SPDEF	PLAUR	-1
HELZ2	SLC27A1	1
PPRC1	TFAM	1
MTSS1	FOXA2	1
HMGA2	COL11A2	1
TOP2B	RUNX1	1
RBBP5	GP1BA	1
FOXM1	CDKN2A	-1
NFKB1	HYAL1	1
PAX6	SIX3	1
TP53	CHEK1	-1
CHEK1	TP53	-1
TP53	CHEK2	-1
NR1H2	ABCA1	1
ABCA1	NR1H2	1
NR1H3	ABCA1	1
ABCA1	NR1H3	1
FLI1	TERT	1
NR1H4	ABCB4	1
FOXG1	CDKN1A	-1
CHD9	SLC27A1	1
NR1I2	ABCB1	1
NCOA1	PCK1	1
NCOA1	PCK2	1
NCOA2	PCK1	1
NCOA3	PCK1	1
NR2F1	LHCGR	-1
NELFE	RAD51D	1
NELFA	RAD51D	1
NELFB	RAD51D	1
NR1H2	ABCG1	1
ABCG1	NR1H2	1
NR1H3	ABCG1	1
ABCG1	NR1H3	1
NR1H2	ABCG4	1
NR2F6	LHCGR	-1
NPM1	NOP2	-1
RELA	ABCA1	-1
ABCG8	NR1H3	1
NR1H3	ABCG4	1
ABCG5	NR1H2	1
ABCG5	NR1H3	1
ABCG8	NR1H2	1
NR0B2	E2F1	-1
MYC	IREB2	1
RUVBL1	GPAM	1
RUVBL2	GPAM	1
MMP13	JUND	1
HNF4A	GCK	1
STAT1	TP53	1
E2F1	SIRT1	1
STAT4	IL18R1	1
SALL4	HOXA9	1
ATM	TERF1	-1
LMO2	GYPA	-1
RUNX2	COL1A1	1
UBE2B	TCF7L2	1
HIC1	VLDLR	-1
TP73	FASN	1
MLXIPL	ACACA	1
MLXIPL	ACACB	1
ATF2	PCK1	1
TP63	FASN	1
MAX	IREB2	1
AR	VIM	-1
PPARG	CD83	1
PTGS2	SREBF1	1
PTGS2	SREBF2	1
SP1	HYAL1	-1
HOXA9	MYCN	1
PPARG	CD36	1
PPARA	CD36	1
STAT3	TP63	1
ESR1	COL1A2	-1
CDAN1	E2F1	1
TP73	NSG1	1
ELK1	FOSL1	1
ALB	HNF1A	1
OSCAR	MITF	1
BCL6	IGHE	-1
SOX9	MIA	1
JUND	MYC	1
GATA1	PTGFR	-1
VDR	NCOR1	1
SPI1	LYZ	1
CREB1	GZMB	1
SUPT4H1	ATM	1
SUPT4H1	ATR	1
POU2F1	IL4	-1
PML	GRIP1	1
CARM1	ME1	1
STAT6	GATA3	1
SP1	OPRM1	1
OPRM1	SP1	1
SP3	OPRM1	1
DPEP1	CTNNB1	1
HOXA10	CDKN1C	-1
NR1I2	TNFRSF12A	1
SPI1	CXCR1	1
TP53	RECQL4	1
GAPDH	HIF1A	1
JUNB	MGP	1
TP63	COL5A1	1
TBPL1	NF1	1
MYC	TNFRSF10B	1
SNW1	MYC	1
HMGB2	GFI1B	1
HDAC9	CDKN2A	1
NFKB1	IL23A	1
NFKB1	IL1RN	1
GATA4	ERBB2	-1
HELZ2	GLIPR1	1
ELOA2	MDC1	1
HDAC7	CDKN1A	1
ELOA3	MDC1	1
MED13L	CD36	1
SREBF1	HMGCR	1
HMGCR	SREBF1	1
SREBF2	HMGCR	1
SFRP1	GLI1	1
GLI1	SFRP1	1
NR4A3	PPARG	-1
HSF1	SERPINE1	1
JUN	ABCB1	1
FOXO1	ADIPOR1	1
PPARG	ACAT1	1
CRTC1	PER1	1
HNF4G	AFP	1
HIF1A	ZNF217	1
HNF4A	AFP	1
ETV6	MAD2L1	-1
TFDP2	TYMS	1
PPARA	CYP1A1	1
TFDP1	TYMS	1
MAX	E2F1	-1
LONP1	STAT5A	1
LONP1	STAT5B	1
MGA	E2F1	-1
TFRC	HIF1A	1
HIF1A	TFRC	1
FOXF2	PSG7	-1
HELZ2	FADS1	1
RUNX1	MYH10	-1
KLF4	BDKRB2	1
ING4	SPP1	-1
KAT5	CAD	1
UBE3A	KLK3	1
PPARG	TP53	1
KLF5	HIF1A	1
ESR1	CD82	1
FOXM1	BIRC5	1
VDR	IL12B	-1
CCNT2	BRCA1	1
CCNT1	BRCA1	1
KLK3	HIF1A	1
HIF1A	TFF3	1
EP300	IGFBP3	1
PARP1	ZEB1	1
IL2RA	NFKB1	1
IL6ST	STAT5A	1
IL6ST	STAT5B	1
FANCD2	ATR	1
ATR	FANCD2	1
FANCD2	ATM	1
